Symbol,Name,Sector,Price,Price/Earnings(trades at X times the earnings),52 Week High,52 Week Low,52 Week Avg,P/AA %,  52-Week P/AA % Position,Rating,Action
HBAN,Huntington Bancshares,Financials,15.1,15.41,16.53,12.14,14.335,8.65%,Below 52 Week High ,BETTER,HOLD
HBI,Hanesbrands Inc,Consumer Discretionary,19.57,10.04,25.73,18.9,22.315,3.54%,Above 52 Week Low,BEST,BUY
HCA,HCA Holdings,Health Care,95.97,14.07,106.84,71.18,89.01,10.17%,Below 52 Week High ,BETTER,BUY
HCN,Welltower Inc.,Real Estate,54.67,12.74,78.17,55.29,66.73,-1.12%,Below 52 Week Low,CAUTION,BUY
HCP,HCP Inc.,Real Estate,22.64,10.99,33.67,22.8,28.235,-0.70%,Below 52 Week Low,CAUTION,BUY
HD,Home Depot,Consumer Discretionary,181.22,28.1,207.605,136.82,172.2125,12.71%,Below 52 Week High ,BETTER,SELL
HES,Hess Corporation,Energy,43,-9.33,55.48,37.25,46.365,15.44%,Above 52 Week Low,BEST,LOOK
HIG,Hartford Financial Svc.Gp.,Financials,53.34,14.34,59.2,46.35,52.775,9.90%,Below 52 Week High ,BETTER,BUY
HII,Huntington Ingalls Industries,Industrials,225.37,18.75,253.44,183.42,218.43,11.08%,Below 52 Week High ,BETTER,HOLD
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,78.66,36.42,88.11,55.79,71.95,10.73%,Below 52 Week High ,BETTER,SELL
HOG,Harley-Davidson,Consumer Discretionary,47.54,13.7,63.4,44.52,53.96,6.78%,Above 52 Week Low,BEST,BUY
HOLX,Hologic,Health Care,38.8,19.21,46.8,35.76,41.28,8.50%,Above 52 Week Low,BEST,HOLD
HON,Honeywell Int'l Inc.,Industrials,146.02,20.68,165.13,119.31,142.22,11.57%,Below 52 Week High ,BETTER,SELL
HP,Helmerich & Payne,Energy,64.87,-54.51,75.02,42.16,58.59,13.53%,Below 52 Week High ,BETTER,LOOK
HPE,Hewlett Packard Enterprise,Information Technology,15.04,11.57,24.88,12.815,18.8475,17.36%,Above 52 Week Low,BEST,BUY
HPQ,HP Inc.,Information Technology,19.92,12.07,24.1,15.39,19.745,17.34%,Below 52 Week High ,BETTER,BUY
HRB,Block H&R,Financials,25.19,12.29,31.8,19.85,25.825,26.90%,Above 52 Week Low,GOOD,BUY
HRL,Hormel Foods Corp.,Consumer Staples,32.21,20.39,38,29.75,33.875,8.27%,Above 52 Week Low,BEST,SELL
HRS,Harris Corporation,Information Technology,149.84,26.38,160.67,104.16,132.415,6.74%,Below 52 Week High ,BETTER,SELL
HSIC,Henry Schein,Health Care,70.85,19.85,93.495,65.28,79.3875,8.53%,Above 52 Week Low,BEST,HOLD
HST,Host Hotels & Resorts,Real Estate,18.75,11.23,21.53,17.26,19.395,8.63%,Above 52 Week Low,BEST,BUY
HSY,The Hershey Company,Consumer Staples,97.65,20.51,116.49,98.851,107.6705,-1.21%,Below 52 Week Low,CAUTION,SELL
HUM,Humana Inc.,Health Care,262.37,22.39,293.35,189.01,241.18,10.56%,Below 52 Week High ,BETTER,SELL
IBM,International Business Machines,Information Technology,147.59,10.67,182.79,139.13,160.96,6.08%,Above 52 Week Low,BEST,BUY
ICE,Intercontinental Exchange,Financials,67,22.95,76.1378,56.8,66.4689,12.00%,Below 52 Week High ,BETTER,SELL
IDXX,IDEXX Laboratories,Health Care,169.28,53.57,198.73,140.63,169.68,20.37%,Above 52 Week Low,GOOD,SELL
IFF,Intl Flavors & Fragrances,Materials,138,24.17,157.4,116.3,136.85,12.33%,Below 52 Week High ,BETTER,SELL
ILMN,Illumina Inc,Health Care,209.54,52.25,248.97,158.0203,203.49515,15.84%,Below 52 Week High ,BETTER,SELL
INCY,Incyte,Health Care,83.92,-119.89,153.15,84.21,118.68,-0.34%,Below 52 Week Low,CAUTION,LOOK
INFO,IHS Markit Ltd.,Industrials,43.73,26.19,49.19,37.82,43.505,11.10%,Below 52 Week High ,BETTER,SELL
INTC,Intel Corp.,Information Technology,42.75,12.32,50.85,33.23,42.04,15.93%,Below 52 Week High ,BETTER,BUY
INTU,Intuit Inc.,Information Technology,152.75,40.52,170.59,111.9,141.245,10.46%,Below 52 Week High ,BETTER,SELL
IP,International Paper,Materials,56.05,15.57,66.94,49.6,58.27,13.00%,Above 52 Week Low,BEST,HOLD
IPG,Interpublic Group,Consumer Discretionary,21.34,15.46,25.71,18.3,22.005,16.61%,Above 52 Week Low,BEST,HOLD
IQV,IQVIA Holdings Inc.,Health Care,95.23,21.74,110.67,75.94,93.305,13.95%,Below 52 Week High ,BETTER,SELL
IR,Ingersoll-Rand PLC,Industrials,87.6,19.38,97.67,77.26,87.465,10.31%,Below 52 Week High ,BETTER,HOLD
IRM,Iron Mountain Incorporated,Real Estate,32.07,15.42,41.53,32.05,36.79,0.06%,Above 52 Week Low,BETTER,HOLD
ISRG,Intuitive Surgical Inc.,Health Care,381.87,48.58,452,233.10643,342.553215,15.52%,Below 52 Week High ,BETTER,SELL
IT,Gartner Inc,Information Technology,114.26,36.86,142.16,97.96,120.06,16.64%,Above 52 Week Low,BEST,SELL
ITW,Illinois Tool Works,Industrials,156.15,23.62,179.07,126.52,152.795,12.80%,Below 52 Week High ,BETTER,SELL
IVZ,Invesco Ltd.,Financials,31.92,11.87,38.43,29.36,33.895,8.72%,Above 52 Week Low,BEST,BUY
JBHT,J. B. Hunt Transport Services,Industrials,114.81,30.62,126.49,83.35,104.92,9.23%,Below 52 Week High ,BETTER,SELL
JCI,Johnson Controls International,Industrials,36.55,14,44.37,34.51,39.44,5.91%,Above 52 Week Low,BEST,BUY
JEC,Jacobs Engineering Group,Industrials,62.82,19.45,72.18,49.31,60.745,12.97%,Below 52 Week High ,BETTER,HOLD
JNJ,Johnson & Johnson,Health Care,126.36,17.31,148.32,113.15,130.735,11.67%,Above 52 Week Low,BEST,HOLD
JNPR,Juniper Networks,Information Technology,24.66,14.09,30.96,23.87,27.415,3.31%,Above 52 Week Low,BEST,BUY
JPM,JPMorgan Chase & Co.,Financials,107.88,15.43,117.3529,81.635,99.49395,8.07%,Below 52 Week High ,BETTER,HOLD
JWN,Nordstrom,Consumer Discretionary,47.23,15.04,53,37.7924,45.3962,10.89%,Below 52 Week High ,BETTER,HOLD
K,Kellogg Co.,Consumer Staples,65.98,16.5,76.69,58.76,67.725,12.29%,Above 52 Week Low,BEST,HOLD
KEY,KeyCorp,Financials,20.08,14.66,22.22,16.28,19.25,9.63%,Below 52 Week High ,BETTER,BUY
KHC,Kraft Heinz Co,Consumer Staples,71.58,20.11,97.77,72.05,84.91,-0.65%,Below 52 Week Low,CAUTION,SELL
KIM,Kimco Realty,Real Estate,14.01,9.28,25.15,14.33,19.74,-2.23%,Below 52 Week Low,CAUTION,BUY
KLAC,KLA-Tencor Corp.,Information Technology,98.54,16.59,121.65,86.33,103.99,14.14%,Above 52 Week Low,BEST,HOLD
KMB,Kimberly-Clark,Consumer Staples,111.69,17.93,136.21,109.67,122.94,1.84%,Above 52 Week Low,BEST,HOLD
KMI,Kinder Morgan,Energy,16.8,25.07,22.75,16.56,19.655,1.45%,Above 52 Week Low,BEST,SELL
KMX,Carmax Inc,Consumer Discretionary,64.34,19.44,77.64,54.29,65.965,18.51%,Above 52 Week Low,BEST,HOLD
KO,Coca-Cola Company (The),Consumer Staples,43.1,22.8,48.615,40.22,44.4175,7.16%,Above 52 Week Low,BEST,SELL
KORS,Michael Kors Holdings,Consumer Discretionary,60.03,14.29,69.95,32.38,51.165,14.18%,Below 52 Week High ,BETTER,BUY
KR,Kroger Co.,Consumer Staples,27.57,13.07,34.75,19.69,27.22,20.66%,Below 52 Week High ,BETTER,BUY
KSS,Kohl's Corp.,Consumer Discretionary,60.34,16.01,69.14,35.16,52.15,12.73%,Below 52 Week High ,BETTER,HOLD
KSU,Kansas City Southern,Industrials,103.53,19.8,114.85,81.54,98.195,9.86%,Below 52 Week High ,BETTER,HOLD
L,Loews Corp.,Financials,46.05,15.99,53.59,45.01,49.3,2.31%,Above 52 Week Low,BEST,HOLD
LB,L Brands Inc.,Consumer Discretionary,47.77,12.77,63.1,35,49.05,36.49%,Above 52 Week Low,GOOD,BUY
LEG,Leggett & Platt,Consumer Discretionary,43.99,17.88,54.97,42,48.485,4.74%,Above 52 Week Low,BEST,HOLD
LEN,Lennar Corp.,Consumer Discretionary,59.11,15.35,72.17,43.647053,57.9085265,18.10%,Below 52 Week High ,BETTER,HOLD
LH,Laboratory Corp. of America Holding,Health Care,165.46,17.79,181.715,130.292,156.0035,8.95%,Below 52 Week High ,BETTER,HOLD
LKQ,LKQ Corporation,Consumer Discretionary,38.86,21.35,43.8599,27.85,35.85495,11.40%,Below 52 Week High ,BETTER,SELL
LLL,L-3 Communications Holdings,Industrials,198.79,23.14,218.705,159.43,189.0675,9.11%,Below 52 Week High ,BETTER,SELL
LLY,Lilly (Eli) & Co.,Health Care,74.21,17.34,89.09,75.71,82.4,-1.98%,Below 52 Week Low,CAUTION,HOLD
LMT,Lockheed Martin Corp.,Industrials,334.3,24.28,361.79,256.4,309.095,7.60%,Below 52 Week High ,BETTER,SELL
LNC,Lincoln National,Financials,73.86,9.49,86.68,61.45,74.065,20.20%,Above 52 Week Low,GOOD,BUY
LNT,Alliant Energy Corp,Utilities,37.14,19.86,45.55,36.84,41.195,0.81%,Above 52 Week Low,BETTER,HOLD
LOW,Lowe's Cos.,Consumer Discretionary,95.01,23.87,108.98,70.76,89.87,12.82%,Below 52 Week High ,BETTER,SELL
LRCX,Lam Research,Information Technology,162.23,16.29,219.7,113.1982,166.4491,43.31%,Above 52 Week Low,CAUTION,HOLD
LUK,Leucadia National Corp.,Financials,23.86,15.39,28.3,22.23,25.265,7.33%,Above 52 Week Low,BEST,HOLD
LUV,Southwest Airlines,Industrials,55.63,15.89,66.985,49.76,58.3725,11.80%,Above 52 Week Low,BEST,HOLD
LYB,LyondellBasell,Materials,105.79,10.35,121.95,78.01,99.98,13.25%,Below 52 Week High ,BETTER,BUY
M,Macy's Inc.,Consumer Discretionary,24,7.67,33.73,17.405,25.5675,37.89%,Above 52 Week Low,GOOD,BUY
MA,Mastercard Inc.,Information Technology,160.62,34.99,177.11,105.8,141.455,9.31%,Below 52 Week High ,BETTER,SELL
MAA,Mid-America Apartments,Real Estate,85.39,14.38,110.95,86.95,98.95,-1.79%,Below 52 Week Low,CAUTION,BUY
MAC,Macerich,Real Estate,58.36,14.81,69.73,52.12,60.925,11.97%,Above 52 Week Low,BEST,BUY
MAR,Marriott Int'l.,Consumer Discretionary,133.88,32.73,149.21,85.3725,117.29125,10.27%,Below 52 Week High ,BETTER,SELL
MAS,Masco Corp.,Industrials,40.7,22.12,46.445,31.29,38.8675,12.37%,Below 52 Week High ,BETTER,SELL
MAT,Mattel Inc.,Consumer Discretionary,16,-14.68,26.3,12.71,19.505,25.89%,Above 52 Week Low,GOOD,LOOK
MCD,McDonald's Corp.,Consumer Discretionary,158.97,23.83,178.7,124.36,151.53,11.04%,Below 52 Week High ,BETTER,SELL
MCHP,Microchip Technology,Information Technology,79.9,21.77,99.17,69.76,84.465,14.54%,Above 52 Week Low,BEST,SELL
MCK,McKesson Corp.,Health Care,150.23,11.68,178.86,133.82,156.34,12.26%,Above 52 Week Low,BEST,BUY
MCO,Moody's Corp,Financials,152.14,26.55,167.23,106.48,136.855,9.02%,Below 52 Week High ,BETTER,SELL
MDLZ,Mondelez International,Consumer Staples,42.68,19.85,47.23,39.19,43.21,8.91%,Above 52 Week Low,BEST,HOLD
MDT,Medtronic plc,Health Care,78.38,17.04,89.72,75.44,82.58,3.90%,Above 52 Week Low,BEST,HOLD
MET,MetLife Inc.,Financials,44.28,8.52,56.58,44.58,50.58,-0.67%,Below 52 Week Low,CAUTION,BUY
MGM,MGM Resorts International,Consumer Discretionary,33.5,29.65,38.41,25.15,31.78,12.78%,Below 52 Week High ,BETTER,SELL
MHK,Mohawk Industries,Consumer Discretionary,256.57,19.08,286.85,209.9,248.375,10.56%,Below 52 Week High ,BETTER,HOLD
MKC,McCormick & Co.,Consumer Staples,101.36,23.91,109.67,90.25,99.96,7.58%,Below 52 Week High ,BETTER,SELL
MLM,Martin Marietta Materials,Materials,208.42,30.38,244.32,191.09,217.705,9.07%,Above 52 Week Low,BEST,SELL
MMC,Marsh & McLennan,Financials,79.31,20.23,86.54,69.33,77.935,8.35%,Below 52 Week High ,BETTER,SELL
MMM,3M Company,Industrials,222.89,24.31,259.77,175.49,217.63,14.20%,Below 52 Week High ,BETTER,SELL
MNST,Monster Beverage,Consumer Staples,61.99,42.17,70.215,41.02,55.6175,11.71%,Below 52 Week High ,BETTER,SELL
MO,Altria Group Inc,Consumer Staples,64.05,18.89,77.79,60.01,68.9,6.73%,Above 52 Week Low,BEST,HOLD
MON,Monsanto Co.,Materials,119.08,21.53,123.15,106.97,115.06,3.30%,Below 52 Week High ,BETTER,SELL
MOS,The Mosaic Company,Materials,24.13,23.66,34.36,19.23,26.795,25.48%,Above 52 Week Low,GOOD,SELL
MPC,Marathon Petroleum,Energy,62.79,16.06,73.53,47.39,60.46,14.61%,Below 52 Week High ,BETTER,HOLD
MRK,Merck & Co.,Health Care,54.73,13.75,66.8,53.63,60.215,2.05%,Above 52 Week Low,BEST,BUY
MRO,Marathon Oil Corp.,Energy,15.68,-32,19.52,10.55,15.035,19.67%,Below 52 Week High ,BETTER,LOOK
MS,Morgan Stanley,Financials,51.79,14.23,58.05,40.06,49.055,10.78%,Below 52 Week High ,BETTER,BUY
MSFT,Microsoft Corp.,Information Technology,85.01,25.76,96.07,63.22,79.645,11.51%,Below 52 Week High ,BETTER,SELL
MSI,Motorola Solutions Inc.,Information Technology,98.74,19.03,107.78,77.23,92.505,8.39%,Below 52 Week High ,BETTER,HOLD
MTB,M&T Bank Corp.,Financials,178.35,18.91,193.85,141.12,167.485,8.00%,Below 52 Week High ,BETTER,HOLD
MTD,Mettler Toledo,Health Care,601,35.56,697.26,459.34,578.3,13.81%,Below 52 Week High ,BETTER,SELL
MU,Micron Technology,Information Technology,40,9.01,49.89,22.64,36.265,19.82%,Below 52 Week High ,BETTER,BUY
MYL,Mylan N.V.,Health Care,39.25,8.35,47.82,29.39,38.605,17.92%,Below 52 Week High ,BETTER,BUY
NAVI,Navient,Financials,13.38,7.56,16.97,11.481,14.2255,16.54%,Above 52 Week Low,BEST,BUY
NBL,Noble Energy Inc,Energy,25.43,105.96,39.6,22.985,31.2925,10.64%,Above 52 Week Low,BEST,SELL
NCLH,Norwegian Cruise Line,Consumer Discretionary,56.01,15.35,61.48,46.96,54.22,8.90%,Below 52 Week High ,BETTER,HOLD
NDAQ,"Nasdaq, Inc.",Financials,75.21,17.78,83.29,65.98,74.635,9.70%,Below 52 Week High ,BETTER,HOLD
NEE,NextEra Energy,Utilities,145.29,21.65,159.64,124.18,141.91,8.99%,Below 52 Week High ,BETTER,SELL
NEM,Newmont Mining Corporation,Materials,36.61,26.34,42.04,31.42,36.73,16.52%,Above 52 Week Low,BEST,SELL
NFLX,Netflix Inc.,Information Technology,250.1,200.08,286.81,138.26,212.535,12.80%,Below 52 Week High ,BETTER,SELL
NFX,Newfield Exploration Co,Energy,26.38,13.12,43.74,24.41,34.075,8.07%,Above 52 Week Low,BEST,BUY
NI,NiSource Inc.,Utilities,22.51,19.57,27.76,21.93,24.845,2.64%,Above 52 Week Low,BEST,HOLD
NKE,Nike,Consumer Discretionary,62.49,24.9,68.83,50.35,59.59,9.21%,Below 52 Week High ,BETTER,SELL
NLSN,Nielsen Holdings,Industrials,33.9,18.73,45.73,34.22,39.975,-0.94%,Below 52 Week Low,CAUTION,HOLD
NOC,Northrop Grumman Corp.,Industrials,324.01,24.4,349.18,231.98,290.58,7.21%,Below 52 Week High ,BETTER,SELL
NOV,National Oilwell Varco Inc.,Energy,32.64,-77.71,41.895,29.9,35.8975,9.16%,Above 52 Week Low,BEST,LOOK
NRG,NRG Energy,Utilities,24,17.78,29.78,14.52,22.15,19.41%,Below 52 Week High ,BETTER,HOLD
NSC,Norfolk Southern Corp.,Industrials,136.89,20.65,157.1499,109.27,133.20995,12.89%,Below 52 Week High ,BETTER,SELL
NTAP,NetApp,Information Technology,55.85,26.1,64.0599,37.43,50.74495,12.82%,Below 52 Week High ,BETTER,SELL
NTRS,Northern Trust Corp.,Financials,96.2,19.96,108.91,83.17,96.04,11.67%,Below 52 Week High ,BETTER,HOLD
NUE,Nucor Corp.,Materials,60.38,17.01,70.48,51.67,61.075,16.86%,Above 52 Week Low,BEST,HOLD
NVDA,Nvidia Corporation,Information Technology,217.52,82.08,249.27,95.17,172.22,12.74%,Below 52 Week High ,BETTER,SELL
NWL,Newell Brands,Consumer Discretionary,27.91,9.72,55.08,23.85,39.465,17.02%,Above 52 Week Low,BEST,BUY
NWS,News Corp. Class B,Consumer Discretionary,15.85,44.03,17.7,12.35,15.025,10.45%,Below 52 Week High ,BETTER,SELL
NWSA,News Corp. Class A,Consumer Discretionary,15.65,43.47,17.29,12,14.645,9.49%,Below 52 Week High ,BETTER,SELL
O,Realty Income Corporation,Real Estate,47.56,15.54,63.6,48.89,56.245,-2.72%,Below 52 Week Low,CAUTION,HOLD
OKE,ONEOK,Energy,54.4,34,61.36,47.14,54.25,11.34%,Below 52 Week High ,BETTER,SELL
OMC,Omnicom Group,Consumer Discretionary,75.91,15.27,86.71,65.32,76.015,16.21%,Above 52 Week Low,BEST,HOLD
ORCL,Oracle Corp.,Information Technology,46.84,18.81,53.14,40.01,46.575,11.86%,Below 52 Week High ,BETTER,HOLD
ORLY,O'Reilly Automotive,Consumer Discretionary,252.22,21.91,279.23,169.43,224.33,9.67%,Below 52 Week High ,BETTER,SELL
OXY,Occidental Petroleum,Energy,68.47,195.63,78.09,57.2,67.645,12.32%,Below 52 Week High ,BETTER,SELL
PAYX,Paychex Inc.,Information Technology,61.86,27.49,73.1,54.2,63.65,14.13%,Above 52 Week Low,BEST,SELL
PBCT,People's United Financial,Financials,18.56,18.02,20.14,15.965,18.0525,7.85%,Below 52 Week High ,BETTER,HOLD
PCAR,PACCAR Inc.,Industrials,66.98,15.72,79.69,61.93,70.81,8.15%,Above 52 Week Low,BEST,HOLD
PCG,PG&E Corp.,Utilities,38.24,8.75,71.57,38.45,55.01,-0.55%,Below 52 Week Low,CAUTION,BUY
PCLN,Priceline.com Inc,Consumer Discretionary,1806.06,24.26,2067.99,1589,1828.495,13.66%,Above 52 Week Low,BEST,SELL
PDCO,Patterson Companies,Health Care,32.88,14.05,48.295,32.07,40.1825,2.53%,Above 52 Week Low,BEST,BUY
PEG,Public Serv. Enterprise Inc.,Utilities,46.73,16.11,53.28,41.67,47.475,12.14%,Above 52 Week Low,BEST,HOLD
PEP,PepsiCo Inc.,Consumer Staples,110.15,21.51,122.51,104.77,113.64,5.14%,Above 52 Week Low,BEST,SELL
PFE,Pfizer Inc.,Health Care,33.63,12.69,39.43,31.67,35.55,6.19%,Above 52 Week Low,BEST,BUY
PFG,Principal Financial Group,Financials,60.38,11.96,75.585,58.9401,67.26255,2.44%,Above 52 Week Low,BEST,BUY
PG,Procter & Gamble,Consumer Staples,80.22,20.46,94.67,80.1,87.385,0.15%,Above 52 Week Low,BETTER,SELL
PGR,Progressive Corp.,Financials,51.07,20.76,58.25,36.84,47.545,12.33%,Below 52 Week High ,BETTER,SELL
PH,Parker-Hannifin,Industrials,174.51,21.6,212.8,145.38,179.09,20.04%,Above 52 Week Low,GOOD,SELL
PHM,Pulte Homes Inc.,Consumer Discretionary,28.67,12.86,35.21,21.06,28.135,18.57%,Below 52 Week High ,BETTER,BUY
PKG,Packaging Corporation of America,Materials,111.95,18.57,131.1316,88.47,109.8008,14.63%,Below 52 Week High ,BETTER,HOLD
PKI,PerkinElmer,Health Care,72.06,24.68,84.49,52.63,68.56,14.71%,Below 52 Week High ,BETTER,SELL
PLD,Prologis,Real Estate,58.33,20.76,67.53,48.69,58.11,13.62%,Below 52 Week High ,BETTER,SELL
PM,Philip Morris International,Consumer Staples,100.39,22.36,123.55,96.66,110.105,3.86%,Above 52 Week Low,BEST,SELL
PNC,PNC Financial Services,Financials,149.38,17.55,160.07,115.25,137.66,6.68%,Below 52 Week High ,BETTER,HOLD
PNR,Pentair Ltd.,Industrials,66.67,18.89,74.84,57.63,66.235,10.92%,Below 52 Week High ,BETTER,HOLD
PNW,Pinnacle West Capital,Utilities,74.34,16.06,92.48,73.81,83.145,0.72%,Above 52 Week Low,BETTER,HOLD
PPG,PPG Industries,Materials,110.3,18.73,122.0697,99.57,110.81985,10.78%,Above 52 Week Low,BEST,HOLD
PPL,PPL Corp.,Utilities,29.52,12.83,40.2,29.205,34.7025,1.08%,Above 52 Week Low,BEST,BUY
PRGO,Perrigo,Health Care,84.44,,95.93,63.68,79.805,11.98%,Below 52 Week High ,BETTER,LOOK
PRU,Prudential Financial,Financials,103.38,9.99,127.14,97.88,112.51,5.62%,Above 52 Week Low,BEST,BUY
PSA,Public Storage,Real Estate,180.49,18.21,232.21,180.9254,206.5677,-0.24%,Below 52 Week Low,CAUTION,HOLD
PSX,Phillips 66,Energy,92.44,21.11,107.47,75.135,91.3025,13.99%,Below 52 Week High ,BETTER,SELL
PVH,PVH Corp.,Consumer Discretionary,142.68,20.98,157.96,84.53,121.245,9.67%,Below 52 Week High ,BETTER,SELL
PWR,Quanta Services Inc.,Industrials,33.51,17.54,40.105,30.23,35.1675,10.85%,Above 52 Week Low,BEST,HOLD
PX,Praxair Inc.,Materials,144.07,24.63,166.95,115.53,141.24,13.70%,Below 52 Week High ,BETTER,SELL
PXD,Pioneer Natural Resources,Energy,169.16,118.29,199.83,125.46,162.645,15.35%,Below 52 Week High ,BETTER,SELL
PYPL,PayPal,Information Technology,72.32,49.53,86.32,39.92,63.12,16.22%,Below 52 Week High ,BETTER,SELL
QCOM,QUALCOMM Inc.,Information Technology,62.42,16.51,69.28,48.92,59.1,9.90%,Below 52 Week High ,BETTER,HOLD
QRVO,Qorvo,Information Technology,76.85,19.71,85.24,62.68,73.96,9.84%,Below 52 Week High ,BETTER,HOLD
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,122.45,16.26,135.65,93.4,114.525,9.73%,Below 52 Week High ,BETTER,HOLD
RE,Everest Re Group Ltd.,Financials,241.06,27.24,277.17,208.81,242.99,15.44%,Above 52 Week Low,BEST,SELL
REG,Regency Centers Corporation,Real Estate,55.58,15.27,72.05,56.66,64.355,-1.91%,Below 52 Week Low,CAUTION,HOLD
REGN,Regeneron,Health Care,322.62,27.93,543.5518,319.5,431.5259,0.98%,Above 52 Week Low,BETTER,SELL
RF,Regions Financial Corp.,Financials,17.9,17.9,19.9,13,16.45,10.05%,Below 52 Week High ,BETTER,HOLD
RHI,Robert Half International,Industrials,52.26,20.18,60.59,42.92,51.755,13.75%,Below 52 Week High ,BETTER,SELL
RHT,Red Hat Inc.,Information Technology,124.65,79.9,135.77,78.48,107.125,8.19%,Below 52 Week High ,BETTER,SELL
RJF,Raymond James Financial Inc.,Financials,86.06,16.94,99.1,71.35,85.225,13.16%,Below 52 Week High ,BETTER,HOLD
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,101.32,17.74,119.33,66.06,92.695,15.09%,Below 52 Week High ,BETTER,HOLD
RMD,ResMed,Health Care,89.26,31.54,104.78,67.04,85.91,14.81%,Below 52 Week High ,BETTER,SELL
ROK,Rockwell Automation Inc.,Industrials,178.73,26.48,210.72,147.67,179.195,21.03%,Above 52 Week Low,GOOD,SELL
ROP,Roper Technologies,Industrials,259.4,27.57,290.415,191.22,240.8175,10.68%,Below 52 Week High ,BETTER,SELL
ROST,Ross Stores,Consumer Discretionary,75.06,26.52,85.66,52.85,69.255,12.37%,Below 52 Week High ,BETTER,SELL
RRC,Range Resources Corp.,Energy,12.82,35.61,34.09,12.7,23.395,0.94%,Above 52 Week Low,BETTER,SELL
RSG,Republic Services Inc,Industrials,62.72,26.13,69.4,57.53,63.465,9.02%,Above 52 Week Low,BEST,SELL
RTN,Raytheon Co.,Industrials,198.74,25.78,213.45,147.86,180.655,6.89%,Below 52 Week High ,BETTER,SELL
SBAC,SBA Communications,Real Estate,159.85,199.81,177.67,103.51,140.59,10.03%,Below 52 Week High ,BETTER,SELL
SBUX,Starbucks Corp.,Consumer Discretionary,53.77,25.98,64.87,52.58,58.725,2.26%,Above 52 Week Low,BEST,SELL
SCG,SCANA Corp,Utilities,35.6,8.75,71.28,35.31,53.295,0.82%,Above 52 Week Low,BETTER,BUY
SCHW,Charles Schwab Corporation,Financials,48.9,29.82,56.25,37.16,46.705,13.07%,Below 52 Week High ,BETTER,SELL
SEE,Sealed Air,Materials,42.62,21.31,50.62,41.22,45.92,3.40%,Above 52 Week Low,BEST,SELL
SHW,Sherwin-Williams,Materials,387.65,26.75,435.15,302.0101,368.58005,10.92%,Below 52 Week High ,BETTER,SELL
SIG,Signet Jewelers,Consumer Discretionary,49.38,6.65,77.94,46.09,62.015,7.14%,Above 52 Week Low,BEST,BUY
SJM,JM Smucker,Consumer Staples,118.37,15.35,143.68,99.565,121.6225,18.89%,Above 52 Week Low,BEST,HOLD
SLB,Schlumberger Ltd.,Energy,67.4,44.93,82.71,61.02,71.865,10.46%,Above 52 Week Low,BEST,SELL
SLG,SL Green Realty,Real Estate,90.61,14.07,115.34,91.2,103.27,-0.65%,Below 52 Week Low,CAUTION,BUY
SNA,Snap-On Inc.,Consumer Discretionary,156.72,15.81,185.47,140.83,163.15,11.28%,Above 52 Week Low,BEST,HOLD
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,86.46,16.04,88.87,64.87,76.87,2.71%,Below 52 Week High ,BETTER,HOLD
SNPS,Synopsys Inc.,Information Technology,82.62,67.72,94.8,64.75,79.775,12.85%,Below 52 Week High ,BETTER,SELL
SO,Southern Co.,Utilities,43.4,15.78,53.51,42.63,48.07,1.81%,Above 52 Week Low,BEST,HOLD
SPG,Simon Property Group Inc,Real Estate,152.18,13.56,187.35,150.15,168.75,1.35%,Above 52 Week Low,BEST,BUY
SPGI,"S&P Global, Inc.",Financials,173.31,27.38,185.38,124.64,155.01,6.51%,Below 52 Week High ,BETTER,SELL
SRCL,Stericycle Inc,Industrials,70.55,16.26,88,61.25,74.625,15.18%,Above 52 Week Low,BEST,HOLD
SRE,Sempra Energy,Utilities,103.36,19.14,122.975,100.63,111.8025,2.71%,Above 52 Week Low,BEST,HOLD
STI,SunTrust Banks,Financials,65.8,16.25,72.06,51.96,62.01,8.69%,Below 52 Week High ,BETTER,HOLD
STT,State Street Corp.,Financials,98.54,15.35,114.27,75.27,94.77,13.77%,Below 52 Week High ,BETTER,HOLD
STX,Seagate Technology,Information Technology,47.44,11.51,56.45,30.6,43.525,15.96%,Below 52 Week High ,BETTER,BUY
STZ,Constellation Brands,Consumer Staples,208.73,30.92,229.5,152.01,190.755,9.05%,Below 52 Week High ,BETTER,SELL
SWK,Stanley Black & Decker,Consumer Discretionary,152.86,20.57,176.62,121.09,148.855,13.45%,Below 52 Week High ,BETTER,SELL
SWKS,Skyworks Solutions,Information Technology,99.04,16.45,117.65,90.53,104.09,9.40%,Above 52 Week Low,BEST,HOLD
SYF,Synchrony Financial,Financials,34.98,13.35,40.59,26.01,33.3,13.82%,Below 52 Week High ,BETTER,BUY
SYK,Stryker Corp.,Health Care,148.01,23.46,170,122.01,146.005,12.94%,Below 52 Week High ,BETTER,SELL
SYMC,Symantec Corp.,Information Technology,25.59,39.37,34.2,25.65,29.925,-0.23%,Below 52 Week Low,CAUTION,SELL
SYY,Sysco Corp.,Consumer Staples,57,22.98,64.27,48.85,56.56,11.31%,Below 52 Week High ,BETTER,SELL
